website, size, html, css, js
www.openpolis.it, 7663.167, 484, 1005, 118348
www.koombea.com, 4374.975, 2776, 5224, 42265
www.onetap.com, 1796.977, 1361, 200, 19057
www.samsonite.nl, 5806.565, 519, 18236, 71587
www.santanderx.com, 5864.287, 147, 6846, 73345
www.irwin.com, 6866.8, 798, 3067, 87312
www.ctwant.com, 5740.962, 7559, 3432, 30628
amoozesh365.ir, 17790.35, 6921, 17763, 47156
www.aqweeb.com, 4563.833, 1705, 14618, 78232
www.epicgames.com, 14401.741, 0, 0, 255797
www.tumblr.com, 5131.41, 321, 12557, 70210
twitter.com, 7189.019, 419, 0, 105376
www.oracle.com, 4315.507, 999, 30465, 48917
